arv;dap;ht
1;15,50;24,30
2;17,90;20,00
3;19,50;23,60
4;19,60;29,30
5;21,50;21,40
6;22,00;28,90
7;22,70;24,50
8;24,50;25,00
9;26,80;23,50
10;27,80;26,90
11;27,80;28,30
12;28,00;25,00
13;29,00;27,10
14;30,60;31,00
15;31,30;25,10
16;31,50;27,00
17;31,80;27,30
18;32,90;23,90
19;34,30;33,00
20;34,80;26,10
21;34,90;28,30
22;35,20;26,70
23;35,40;27,80
24;35,40;30,10
25;35,60;28,10
26;35,80;28,20
27;35,80;30,20
28;36,80;26,60
29;37,80;26,00
30;38,50;30,00
31;38,70;29,70
32;38,80;30,30
33;39,60;32,00
34;40,50;27,60
35;40,60;31,10
36;41,20;27,60
37;41,50;25,50
38;41,50;29,70
39;41,80;31,80
40;42,10;26,80
41;42,50;33,30
42;44,00;28,10
43;44,00;30,00
44;44,00;31,00
45;44,00;34,90
46;44,50;27,70
47;46,30;30,50
48;46,80;30,80
49;47,50;30,20
50;47,60;27,80
51;48,30;33,80
52;49,00;31,80
53;49,50;30,60
54;49,80;30,30
55;52,00;29,30
56;52,30;27,50
57;53,80;31,50
58;54,50;27,80
